               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.013523,            0.065173,            0.005184,             0.95021,             0.93816,             0.95647,             0.85108,            0.014152,            0.057298,           0.0048019,            0.005182,            0.005182,            0.005182
                 148,            0.013517,            0.063522,            0.005048,             0.95404,             0.93214,             0.95528,             0.84915,            0.014165,            0.057196,           0.0048109,            0.005149,            0.005149,            0.005149
                 149,            0.012848,            0.062283,           0.0050454,             0.95337,             0.92831,             0.95479,             0.84792,            0.014169,            0.056944,           0.0048731,            0.005116,            0.005116,            0.005116
                 150,             0.01278,            0.061639,           0.0050038,             0.95191,              0.9394,             0.95856,             0.85673,            0.013703,            0.055661,           0.0045127,            0.005083,            0.005083,            0.005083
                 151,            0.012884,            0.062628,           0.0050845,             0.95161,             0.93342,             0.95588,             0.85437,              0.0134,             0.05543,           0.0046713,             0.00505,             0.00505,             0.00505
                 152,            0.012991,            0.061656,           0.0050338,             0.94939,              0.9326,             0.95608,             0.85206,            0.013807,            0.056832,           0.0048454,            0.005017,            0.005017,            0.005017
                 153,             0.01268,            0.061422,           0.0049824,             0.94688,             0.93773,             0.95567,              0.8525,            0.013679,            0.056603,           0.0048717,            0.004984,            0.004984,            0.004984
                 154,            0.012974,            0.061805,           0.0049122,             0.95086,             0.93096,              0.9542,             0.85223,            0.013425,            0.056188,           0.0048236,            0.004951,            0.004951,            0.004951
                 155,            0.012947,            0.062243,           0.0047855,             0.94674,             0.93797,             0.95451,             0.85263,            0.013483,            0.056763,           0.0048059,            0.004918,            0.004918,            0.004918
                 156,            0.012996,            0.062461,           0.0050535,             0.95049,              0.9363,             0.95429,             0.85371,            0.013757,            0.056818,           0.0047329,            0.004885,            0.004885,            0.004885
                 157,            0.013017,            0.062178,           0.0049166,             0.95468,             0.92718,             0.95535,             0.84856,            0.014462,            0.058106,             0.00478,            0.004852,            0.004852,            0.004852
